Address,Aggravated assault,Arson,Burglary,Larceny,Murder,Robbery,Vehicle theft,Total
100 block John St,1,,6,6,,,1,14
100 block Josephine St,,,,1,,1,,2
100 block Kappesser St,1,,,1,,,,2
100 block Keen Pl,,,1,,,,,1
100 block Kellogg St,,,2,2,,,,4
100 block Kenmore Av,,,1,,,,,1
100 block Kensington Rd,,,,1,,,,1
100 block Kenwood Av,,,1,,,,,1
100 block Kimber Av,,,,1,,,1,2
100 block Kincaid Av,,,,1,,,,1
100 block Kirk Av,,,,1,,,,1
100 block Kuhl Av,,,,1,,,,1
100 block Lafayette Rd,,,8,10,,,,18
100 block Lakeview Av,2,,3,1,,1,,7
100 block Latimer Ter,,,,2,,,,2
100 block Latter Dr,,,1,,,,,1
100 block Lawrence St,,,1,2,,,1,4
100 block Leavenworth Av,,,,1,,,,1
100 block Lewis St,,,1,,,,,1
100 block Lexington Av,,,,2,,,,2
100 block Light Ct,1,,,1,,,,2
100 block Lilac St,,,2,,,,1,3
100 block Lillian Av,,,1,,,,,1
100 block Lincoln Av,,,,1,,,,1
100 block Lindwell Ter,1,,,,,,,1
100 block Linwell Ter,,,1,1,,,,2
100 block Linwill Ter,,,2,,,,,2
100 block Lodi St,1,,,,,,,1
100 block Loehr Av,1,,,,,,,1
100 block Loma Av,,,,1,,,,1
100 block Lorraine Av,,,1,,,,,1
100 block Luddington St,,,,2,,,,2
100 block Lynn Cir,,,2,1,,,,3
100 block Lynwood Av,,,,1,,,1,2
100 block Madison St,,,,2,,,,2
100 block Mains Av,,,,,,,1,1
100 block Manilla St,,,,1,,,,1
100 block Manor Dr,,,,1,,,,1
100 block Maple Ter,1,,1,,,,,2
100 block Maplehurst Av,,,,2,,,,2
100 block Maplewood Av,,,2,1,,,,3
100 block Marjorie St,,,1,,,,,1
100 block Mark Av,,,1,1,,,,2
100 block Markland Av,,,1,,,,,1
100 block Marlborough Rd,,,1,,,,,1
100 block Marshall St,1,,,8,,,1,10
100 block Martin Luther King  W,1,,1,,,,,2
100 block Mary St,3,,1,4,,,,8
100 block Mather St,1,1,1,2,,,1,6
100 block Maurice Av,1,,2,3,,,,6
100 block Maxwell Av,,,1,,,,,1
100 block Mayar St,,,1,1,,,,2
100 block Mcallister Av,,,1,2,,1,,4
100 block Mcclure Av,1,,,,,,,1
100 block Mccormick Av,,,,2,,,,2
100 block Mclennan Av,,,,1,,,,1
100 block Meadowbrook Dr,,,1,1,,,,2
100 block Medora Pl,,,1,,,,,1
100 block Melbourne Av,,,2,1,,,,3
100 block Merrill St,,,1,,,,,1
100 block Merriman Av,,,3,4,,3,,10
100 block Merritt Av,1,,1,,,,,2
100 block Michaels Av,,,,2,,,,2
100 block Milburn Dr,,,,1,,,,1
100 block Mildred Av,,,,1,,,,1
100 block Miles Av,,,1,3,,,,4
100 block Milford Ct,,,,1,,,,1
100 block Milnor Av,1,,,,,,,1
100 block Minerva St,1,,,2,,,,3
100 block Monroe St,,,,,,,1,1
100 block Montgomery St,,,,4,,2,,6
100 block Monticello Dr,,,1,,,,,1
100 block Monticello Dr  S,,,,1,,,,1
100 block Mosley Dr,,,2,,,,,2
100 block Murray Av,1,,1,1,,,1,4
100 block Collingwood Av N,,,,2,,,,2
100 block Edwards Av N,,,,2,,,,2
100 block Geddes St N,1,,1,1,,,1,4
100 block Lorraine Av N,,,,1,,,,1
100 block Lowell Av N,,,,2,,,,2
100 block Midler Av N,1,,,1,,,,2
100 block Salina St N,,,,3,,,1,4
100 block Townsend Pl N,,,1,,,,,1
100 block Townsend St N,,,,1,,,,1
100 block Wilbur Av N,,,1,,,,,1
100 block Nelson St,3,,2,1,,,,6
100 block Neutral Ct,1,,1,,,,,2
100 block New St,,,,4,,,,4
100 block Newbury Hollow Ln,,,,3,,,,3
100 block Nichols Av,,,,3,,,,3
100 block Niven St,,,,1,,,,1
100 block Normanor Dr,,,,2,,,,2
100 block Northcliffe Rd,,,,,,,1,1
100 block Oak Pl,,,,1,,,,1
100 block Oak St,3,,1,,,,,4
100 block Oakwood Av,,,,1,,,,1
100 block Onondaga Av,,,,2,,,,2
100 block Onondaga St,,,,1,,,,1
100 block Otisco St,,,,1,,,,1
100 block Park Av,,,1,,,,,1
100 block Park St,,,1,,,,,1
100 block Parkside Av,,,1,1,,,,2
100 block Parkview Av,,,,1,,,,1
100 block Parkway Dr,,,2,,,,,2
100 block Paul Av,,,,2,,,,2
100 block Peck Av,,,,3,,,1,4
100 block Penta Dr,1,,,,,,,1
100 block Pershing Av,,,,1,,,,1
100 block Peters St,,,,2,,1,,3
100 block Pharis St,,,1,,,,,1
100 block Phillips Rd,1,,,,,,,1
100 block Pleasantview Av,,,,2,,,,2
100 block Plum St,,,,1,,,,1
100 block Plymouth Dr,,,,2,,,,2
100 block Polk St,1,,1,4,,,,6
100 block Pond St,,,,,,1,,1
100 block Putnam St,1,,,,,,,1
100 block Radisson Ct,1,,1,,,,,2
100 block Raymond Av,,,1,,,,,1
100 block Redfield Pl,,,,2,,,,2
100 block Reed Av,,,1,,,,,1
100 block Remington Av,,,2,3,,,1,6
100 block Richardson Av,1,,1,3,,,,5
100 block Richmond Av,,,,1,,,,1
100 block Ridgeway Av,,,1,1,,,,2
100 block Rigi Av,,,,1,,,,1
100 block Riverdale Dr,2,,1,1,,1,,5
100 block Roberts Av,,,,2,,,,2
100 block Robinson St,,,1,,,,,1
100 block Rockland Av,,,1,,,,,1
100 block Rockwood Rd,,,,1,,,,1
100 block Roney Ln,3,2,6,4,,,1,16
100 block Roney Rd,1,,,,,,,1
100 block Roosevelt Av,,,1,2,,,,3
100 block Rosemont Dr,,,1,,,,,1
100 block Ross Park Dr,,,,1,,,,1
100 block Ross Pk,,,1,1,,,,2
100 block Rugby Rd,,,1,2,,,,3
100 block Russell Pl,,,,1,,,,1
100 block Beech St S,1,,,,,,,1
100 block Carbon St S,,,2,,,1,,3
100 block Clinton St S,,,,1,,,,1
100 block Collingwood Av S,1,,2,,,,1,4
100 block Crouse Av S,,,,1,,,,1
100 block Edwards Av S,,,1,1,,,,2
100 block Lowell Av S,,,,2,,1,,3
100 block Midler Av S,,,,1,,,,1
100 block Warren St S,,,2,1,,,,3
100 block Sabine St,,,,,,1,2,3
100 block Schiller Av,,,,1,,,,1
100 block Schiller Park Dr,,,,1,,,,1
100 block Schneider St,,,3,2,,,,5
100 block Schoeneck Av,,,,1,,,,1
100 block Schuler St,1,,1,,,,,2
100 block Searlwyn Av,,,,,,,1,1
100 block Second North St,,,1,2,,,,3
100 block Sedgewick Dr,,,,2,,,,2
100 block Sedgewick Rd,,,,1,,,,1
100 block Sedgwick Dr,,,,2,,,,2
100 block Sedgwick Rd,,,,,,,1,1
100 block Seeley Av,,,,1,,,,1
100 block Seeley Rd,,,,1,,,,1
100 block Seneca Dr,,,1,,,,,1
100 block Seventh North St,1,,,,,,,1
100 block Seventh North St,,,1,,,,,1
100 block Seward St,,,,2,,,,2
100 block Seymour St,,,,2,,,,2
100 block Shirley Rd,,,,2,,,,2
100 block Shonnard St,,,1,,,,,1
100 block Shop City Plz,,,,1,,,,1
100 block Shotwell Pk,,,1,1,,,,2
100 block Sidman Av,,,,1,,,,1
100 block Simon Dr,,,,6,,,,6
100 block Slayton Av,,,,1,,,,1
100 block Smith Ln,1,1,,5,,,,7
100 block Smith Rd,,,1,1,,,,2
100 block Snell Ter,,,,1,,,,1
100 block Solar St,,,,3,,,,3
100 block South Av,1,,,1,,,,2
100 block Spring St,1,,1,,,1,,3
100 block St Anne Dr,,,,1,,,,1
100 block St Louis Av,,,,5,,,,5
100 block Stafford Av,,,1,1,,,,2
100 block State Fair Blvd,,,,1,,,,1
100 block Stedman St,,,1,,,,,1
100 block Steuben St,4,,3,1,,1,1,10
100 block Stewart Ct,,,,1,,,,1
100 block Stinard Av,,,,1,,,1,2
100 block Strathmore Dr,,,,1,,,,1
100 block Strong Av,,,,1,,,,1
100 block Sunrise Dr,,,1,1,,,,2
100 block Sunset Av,,,,2,,,,2
100 block Sunstruck Dr,,,,,,,1,1
100 block Syracuse St,,,,1,,,,1
100 block Temple Pl,,,1,1,,,,2
100 block Tennyson Av,,,1,1,,,,2
100 block Thurlow Dr,,,,1,,,,1
100 block Tioga St,,,,,,1,,1
100 block Titus Al,,,1,,,,,1
100 block Townsend Pl,,,1,,,,,1
100 block Tracy St,,,,1,,,,1
100 block Trinity Pl,,,,1,,,,1
100 block Truth Ter,1,,,,,,,1
100 block Tyler Ct,,,,1,,,,1
100 block Upland Rd,,,,1,,,,1
100 block Vale St,,,,,,1,,1
100 block Valley Dr,,,,8,,1,1,10
100 block Valley View Dr,,,1,,,,,1
100 block Van Rensselaer St,,,,1,,,,1
100 block Vann St,,,,1,,,,1
100 block Victoria Pl,,,1,1,,,,2
100 block Village Dr,,,,3,,,,3
100 block Villiage Dr,1,,,,,,,1
100 block Vincent St,,,,1,,,,1
100 block Beard Av W,,,1,,,,,1
100 block Bissell St W,2,,2,,,,,4
100 block Calthrop Av W,,,1,,,,,1
100 block Colvin St W,,,,1,,,,1
100 block Corning Av W,,,,1,,1,,2
100 block Court St W,,,,,,,1,1
100 block Division St W,,,3,,,,,3
100 block Fayette St W,1,,,13,,1,,15
100 block Florence Av W,,,1,,,,,1
100 block Glen Av W,,,,2,,,,2
100 block Jefferson St W,,,,2,,,,2
100 block Kennedy St W,,,,1,,,,1
100 block Kirkpatrick St W,,,,1,,,,1
100 block Lafayette Av W,,,,1,,,,1
100 block Lafayette St W,,,,,,1,,1
100 block Lynhurst Av W,1,,2,,,,1,4
100 block Matson Av W,,,3,,,,,3
100 block Newell St W,,,1,1,,,,2
100 block Onondaga St W,1,,,,,,,1
100 block Ostrander Av W,,,2,3,,,1,6
100 block Pleasant Av W,,,1,,,,,1
100 block Seneca Tpke W,,,,1,,,1,2
100 block Washington St W,,,,1,,,,1
100 block Wadsworth St,,,1,1,,,,2
100 block Wall St,,,1,1,,,,2
100 block Walrath Rd,,,2,,,,,2
100 block Walton St,1,,,6,,,,7
100 block Warham St,,,,,,1,,1
100 block Warner Av,,,,,,,1,1
100 block Washington Sq,,,,3,,,,3
100 block Wayne St,,,1,,,,,1
100 block Webster Av,,,,1,,,1,2
100 block Weiser Ct,1,,,1,,,,2
100 block Wellesley Rd,,,,1,,,,1
100 block Wendell Ter,,,,1,,,,1
100 block West End Dr,,,,1,,,,1
100 block Westminster Av,1,,,,,,,1
100 block White St,,,,1,,,,1
100 block Williams St,,,,,,1,,1
100 block Willis Av,,,,1,,,,1
100 block Wilmore Pl,,,,1,,,,1
100 block Wiman Av,1,,,2,,,,3
100 block Winding Ridge Rd,,,,1,,,,1
100 block Winsor Pl,,,,1,,,,1
100 block Wolf St,1,,1,,,,,2
100 block Wood Av,,,1,3,,,2,6
100 block Woodbine Av,,,,1,,,,1
100 block Woodruff Av,,,,,,1,,1
100 block Woodside Dr,,,1,,,,,1
100 block Worden Av,,,,1,,,1,2
100 block Xavier Cir,,,,1,,,,1
1000 block Avery Av,,,,1,,,,1
1000 block Bellevue Av,,,1,1,,,,2
1000 block Butternut St,1,,2,1,,,,4
1000 block Canal St,,,1,2,,,1,4
1000 block Carbon St,,,,,,1,1,2
1000 block Col Eileen Collins Blvd,,,,9,,,2,11
1000 block Court St,,,1,1,,,,2
1000 block Danforth St,,,,,,1,,1
1000 block Adams St E,,,,1,,,,1
1000 block Fayette St E,,,,1,,,,1
1000 block Genesee St E,,,,2,,,,2
1000 block Emerson Av,,1,,,,,,1
1000 block Erie Blvd E,,,2,,,,,2
1000 block First North St,,,,1,,,,1
1000 block Harrison St,,,3,1,,,,4
1000 block Highland Av,,,,1,,,,1
1000 block Highland St,2,,1,3,,,,6
1000 block Irving Av,,,,3,,,,3
1000 block Ivy Ridge Rd,,,1,,,,,1
1000 block James St,,,4,7,,1,2,14
1000 block Lancaster Av,,,1,1,,,1,3
1000 block Lodi St,1,,1,1,,,,3
1000 block Madison St,1,,3,3,,,,7
1000 block Meadowbrook Dr,,,,1,,,,1
1000 block Mertens Av,,,,1,,,,1
1000 block Midland Av,1,,,,,,,1
1000 block Milton Av,,,,1,,,1,2
1000 block Mcbride St N,,,2,,,,,2
1000 block State St N,,,1,,,,,1
1000 block Townsend St N,2,,1,,,,,3
1000 block Oak St,,,,2,,,,2
1000 block Park St,1,,,3,,,1,5
1000 block Pond St,,,1,1,,1,,3
1000 block Clinton St S,3,,,8,,2,,13
1000 block Geddes St S,,,2,1,,2,,5
1000 block Mcbride St S,1,,2,2,,,,5
1000 block Salina St S,,,1,,,,,1
1000 block Townsend St S,2,,,2,,,,4
1000 block Spring St,,,,,,1,,1
1000 block Sunnycrest Rd,,,,2,,,,2
1000 block Teall Av,,,,,,1,,1
1000 block Tyson Pl,,,2,2,,,,4
1000 block Union Pl,1,,,,,,,1
1000 block Valley Dr,,,1,,,,,1
1000 block Belden Av W,,,,2,,,,2
1000 block Fayette St W,,,1,1,,,,2
1000 block Genesee St W,1,,1,22,,,1,25
1000 block Genessee St W,,,,1,,,,1
1000 block Onondaga St W,2,,1,1,,,,4
1000 block Wadsworth St,,,,1,,,,1
1000 block Walnut Av,,,,1,,,,1
1000 block Westcott St,,,1,1,,,,2
1000 block Westmoreland Av,,,1,,,,,1
1000 block Willis Av,,,2,,,,,2
1000 block Wolf St,,,,1,,,,1
1100 block Avery Av,1,,,,,,,1
1100 block Ballantyne Rd,,,,1,,,,1
1100 block Bellevue Av,,,,2,,1,2,5
1100 block Butternut St,1,,1,2,,1,,5
1100 block Cannon St,3,,1,,,,,4
1100 block Carbon St,,,1,,,,1,2
1100 block Fayette St E,1,,1,1,,,,3
1100 block Genesee St E,,,,1,,,,1
1100 block Washington St E,,,,1,,,,1
1100 block Erie Blvd E,,,,2,,,,2
1100 block Erie Blvd W,,,,,,,1,1
1100 block First North St,,,,2,,,,2
1100 block Grant Blvd,,,1,,,,,1
1100 block James St,,,,3,,,,3
1100 block Kirkpatrick St,,,1,,,,,1
1100 block Lancaster Av,1,,,,,,,1
1100 block Lodi St,,,,1,,,,1
1100 block Madison St,,,3,,,,,3
1100 block Salina St N,1,,,15,,3,,19
1100 block Townsend St N,1,,,1,,,,2
1100 block Park St,,,2,4,,,,6
1100 block Geddes St S,,,,,,,1,1
1100 block Salina St S,,,,2,,,,2
1100 block Townsend St S,1,,,,,,,1
1100 block Salt Springs Rd,1,,,1,,,,2
1100 block South Av,1,,,,,,,1
1100 block Spring St,,,,2,,,,2
1100 block Sunnycrest Rd,,,,1,,,,1
1100 block Teal Av,1,,,,,,,1
1100 block Teall Av,1,,,2,,,,3
1100 block Belden Av W,,,1,1,,,2,4
1100 block Colvin St W,1,,2,1,,,,4
1100 block Genesee St W,,,1,1,,,,2
1100 block Onondaga St W,,,2,2,,,,4
1100 block Westcott St,1,,,,,,,1
1100 block Willis Av,,,,1,,,,1
1100 block Wolf St,,,1,1,,,,2
1200 block Almond St,,,,5,,,1,6
1200 block Avery Av,,,3,2,,,,5
1200 block Bellevue Av,,,1,,,,,1
1200 block Burnet Av,,,,1,,,2,3
1200 block Butternut St,1,,3,,,1,1,6
1200 block Fayette St E,1,,,1,,,,2
1200 block Genesee St E,,,,1,,,,1
1200 block First North St,1,,,,,,,1
1200 block Grant Blvd,,,2,,,,,2
1200 block Harrison St,,,4,5,,,1,10
1200 block Highland St,,,1,,,,,1
1200 block Ivy Ridge Rd,,,,1,,,,1
