"","police_call_block","Aggravated_assault","Arson","Burglary","Larceny","Robbery","vehicle_theft"
"1369","300 block  crouse av   s",NA,NA,NA,3,NA,NA
"1370","300 block  edwards av   s",NA,NA,NA,NA,NA,1
"1371","300 block  franklin st   s",NA,NA,NA,3,NA,NA
"1372","300 block  geddes st   s",1,1,NA,1,1,1
"1373","300 block  lowell av   s",NA,NA,1,NA,NA,NA
"1374","300 block  midler av   s",NA,NA,1,NA,NA,NA
"1375","300 block  salina st   s",1,NA,1,15,2,NA
"1376","300 block  state st   s",NA,NA,NA,1,NA,NA
"1377","300 block  warren st   s",NA,NA,2,7,NA,NA
"1378","300 block salt springs rd  ",NA,NA,NA,1,NA,NA
"1379","300 block sand st  ",NA,NA,NA,1,NA,NA
"1380","300 block schuyler st  ",NA,NA,NA,1,NA,NA
"1381","300 block seneca st  ",NA,NA,1,NA,NA,NA
"1382","300 block seward st  ",NA,NA,NA,NA,1,NA
"1383","300 block seymour st  ",1,NA,1,1,NA,NA
"1384","300 block sherwood av  ",NA,NA,NA,1,NA,NA
"1385","300 block shonnard st  ",NA,NA,1,1,NA,NA
"1386","300 block shuart av  ",NA,NA,1,NA,NA,NA
"1387","300 block small rd  ",NA,NA,1,1,NA,NA
"1388","300 block south av  ",2,NA,NA,1,NA,1
"1389","300 block spencer st  ",NA,NA,3,NA,NA,1
"1390","300 block spring st  ",NA,NA,1,1,NA,NA
"1391","300 block springfield rd  ",NA,NA,1,NA,NA,NA
"1392","300 block stadium pl  ",NA,NA,NA,1,NA,NA
"1393","300 block stafford av  ",NA,NA,1,1,NA,NA
"1394","300 block sterling av  ",1,1,NA,NA,NA,NA
"1395","300 block sunset av  ",1,NA,NA,1,NA,NA
"1396","300 block taft av  ",1,NA,2,NA,NA,NA
"1397","300 block tennyson av  ",NA,NA,2,1,NA,NA
"1398","300 block tioga st  ",1,NA,NA,NA,NA,NA
"1399","300 block tracy st  ",NA,NA,NA,1,NA,NA
"1400","300 block tully st  ",1,NA,2,1,NA,NA
"1401","300 block university pl  ",NA,NA,NA,1,NA,NA
"1402","300 block valley dr  ",1,NA,2,1,NA,NA
"1403","300 block vann st  ",NA,NA,NA,NA,NA,1
"1404","300 block village dr  ",NA,NA,1,2,NA,NA
"1405","300 block vincent st  ",NA,NA,NA,1,NA,NA
"1406","300 block  beard av  ",2,NA,NA,NA,NA,NA
"1407","300 block  brighton av  ",1,NA,NA,1,NA,NA
"1408","300 block  calthrop av  ",NA,NA,NA,1,NA,NA
"1409","300 block  colvin st  ",NA,NA,1,2,NA,NA
"1410","300 block  fayette blvd  ",NA,NA,NA,1,NA,NA
"1411","300 block  fayette st  ",1,NA,3,4,NA,NA
"1412","300 block  genesee st  ",1,NA,NA,1,NA,NA
"1413","300 block  hiawatha blvd  ",NA,NA,NA,1,NA,NA
"1414","300 block  jefferson st  ",NA,1,NA,NA,NA,NA
"1415","300 block  kennedy st  ",4,NA,3,1,1,1
"1416","300 block  kirkpatrick st  ",NA,NA,NA,1,NA,NA
"1417","300 block  lafayette av  ",1,NA,1,1,NA,NA
"1418","300 block  newell st  ",1,NA,NA,2,NA,NA
"1419","300 block  onondaga st  ",1,NA,1,4,NA,NA
"1420","300 block  ostrander av  ",NA,NA,1,1,NA,NA
"1421","300 block  pleasant av  ",1,NA,1,NA,NA,NA
"1422","300 block  washington st  ",NA,NA,NA,3,NA,NA
"1423","300 block  water st  ",NA,NA,NA,6,NA,NA
"1424","300 block wainwright av  ",NA,NA,NA,1,NA,NA
"1425","300 block walnut pl  ",NA,NA,NA,1,NA,NA
"1426","300 block warner av  ",NA,NA,NA,3,NA,NA
"1427","300 block waverly av  ",NA,NA,NA,1,NA,NA
"1428","300 block webster st  ",NA,NA,1,NA,NA,NA
"1429","300 block westcott st  ",1,NA,3,1,NA,NA
"1430","300 block whittier av  ",1,NA,NA,1,NA,NA
"1431","300 block wilkinson st  ",NA,NA,1,1,NA,1
"1432","300 block willumae dr  ",NA,NA,1,NA,NA,NA
"1433","300 block wilson st  ",NA,NA,1,NA,NA,NA
"1434","300 block winton st  ",1,NA,NA,NA,NA,NA
"1435","300 block wodbine av  ",NA,NA,1,NA,NA,NA
"1436","300 block woodbine av  ",NA,NA,1,NA,NA,NA
"1437","300 block woodruff av  ",NA,NA,NA,NA,NA,1
"1438","3000 block  erie blvd   e",NA,NA,NA,2,NA,NA
"1439","3000 block  genesee st   e",NA,NA,NA,1,NA,NA
"1440","3000 block erie blvd  ",NA,NA,NA,2,NA,NA
"1441","3000 block erie blvd   e",NA,NA,1,2,NA,NA
"1442","3000 block james st  ",NA,NA,1,4,NA,NA
"1443","3000 block midland av  ",1,NA,1,NA,NA,NA
"1444","3100 block brighton pl  ",NA,NA,NA,1,NA,NA
"1445","3100 block  brighton av   e",NA,NA,NA,1,NA,NA
"1446","3100 block  genesee st   e",NA,NA,NA,3,NA,1
"1447","3100 block erie blvd   e",1,NA,NA,NA,NA,NA
"1448","3100 block james st  ",NA,NA,1,2,NA,NA
"1449","3100 block  salina st   s",NA,NA,NA,NA,NA,1
"1450","3200 block brighton pl  ",NA,NA,NA,1,NA,NA
"1451","3200 block james st  ",NA,NA,NA,1,NA,NA
"1452","3200 block  salina st   s",NA,NA,1,4,1,2
"1453","3300 block burnet av  ",NA,NA,2,NA,NA,NA
"1454","3300 block  genesee st   e",NA,NA,NA,1,NA,NA
"1455","3300 block james st  ",NA,NA,NA,2,NA,1
"1456","3300 block midland av  ",NA,NA,NA,1,NA,NA
"1457","3400 block burnet av  ",NA,NA,NA,4,NA,NA
"1458","3400 block james st  ",NA,NA,NA,2,NA,NA
"1459","3400 block  salina st   s",NA,1,1,NA,NA,NA
"1460","3500 block james st  ",NA,NA,1,NA,NA,NA
"1461","3500 block  salina st   s",NA,NA,1,2,1,NA
"1462","3500 block  genesee st  ",NA,NA,NA,1,NA,NA
"1463","3600 block james st  ",NA,NA,NA,1,NA,NA
"1464","3600 block midland av  ",NA,NA,NA,NA,1,NA
"1465","3600 block  salina st   s",1,NA,NA,NA,NA,NA
"1466","3700 block midland av  ",NA,NA,1,NA,NA,NA
"1467","3700 block  salina st   s",NA,NA,NA,1,NA,NA
"1468","3800 block  genesee st   e",NA,NA,NA,1,NA,NA
"1469","3800 block  salina st   s",NA,NA,1,5,1,NA
"1470","3900 block  salina st   s",NA,NA,1,1,NA,NA
"1471","400 block allen st  ",NA,NA,1,1,NA,NA
"1472","400 block arthur st  ",1,NA,NA,1,NA,1
"1473","400 block ash st  ",NA,NA,3,2,NA,1
"1474","400 block avery av  ",1,NA,NA,NA,NA,NA
"1475","400 block bear st  ",1,NA,1,NA,NA,NA
"1476","400 block beattie st  ",NA,NA,NA,1,NA,NA
"1477","400 block bellevue av  ",2,NA,NA,NA,1,NA
"1478","400 block boyden st  ",NA,NA,1,1,NA,1
"1479","400 block bradley st  ",NA,NA,NA,1,NA,NA
"1480","400 block brattle rd  ",NA,NA,NA,4,NA,NA
"1481","400 block brookford rd  ",NA,NA,2,NA,NA,NA
"1482","400 block bryant av  ",NA,NA,NA,1,NA,NA
"1483","400 block buckingham av  ",NA,NA,1,1,NA,NA
"1484","400 block burnet av  ",1,NA,NA,1,NA,1
"1485","400 block burns av  ",NA,NA,2,NA,NA,1
"1486","400 block butternut st  ",2,NA,2,40,1,NA
"1487","400 block carbon st  ",NA,NA,2,1,NA,NA
"1488","400 block cayuga st  ",NA,NA,2,1,NA,NA
"1489","400 block chemung st  ",NA,NA,1,1,NA,NA
"1490","400 block clarence av  ",NA,NA,1,NA,NA,NA
"1491","400 block columbus av  ",NA,NA,NA,1,NA,NA
"1492","400 block comstock av  ",NA,NA,NA,1,NA,NA
"1493","400 block cortland av  ",NA,NA,NA,NA,NA,1
"1494","400 block craddock st  ",NA,NA,NA,1,NA,NA
"1495","400 block craig st  ",1,NA,NA,1,NA,NA
"1496","400 block crawford av  ",NA,NA,NA,2,NA,NA
"1497","400 block danforth st  ",1,NA,NA,NA,NA,NA
"1498","400 block delaware st  ",1,1,NA,1,2,1
"1499","400 block dewitt st  ",NA,NA,NA,NA,1,1
"1500","400 block douglas st  ",NA,NA,1,NA,NA,NA
"1501","400 block dudley st  ",NA,NA,1,NA,1,1
"1502","400 block durston av  ",NA,NA,NA,NA,1,NA
"1503","400 block  brighton av   e",NA,NA,NA,1,NA,NA
"1504","400 block  division st   e",1,NA,NA,1,NA,1
"1505","400 block  fayette st   e",NA,NA,NA,NA,NA,1
"1506","400 block  genesee pkwy   e",NA,NA,NA,1,NA,NA
"1507","400 block  raynor av   e",NA,NA,NA,1,1,NA
"1508","400 block  washington st   e",NA,NA,1,NA,NA,NA
"1509","400 block electronics pkwy  ",NA,NA,NA,1,NA,NA
"1510","400 block elliott st  ",NA,NA,NA,1,NA,1
"1511","400 block ellis st  ",NA,NA,NA,2,NA,NA
"1512","400 block elm st  ",NA,NA,1,NA,NA,1
"1513","400 block emerson av  ",NA,NA,NA,1,NA,NA
"1514","400 block erie blvd   e",NA,NA,NA,2,3,NA
"1515","400 block erie st  ",NA,NA,NA,1,NA,NA
"1516","400 block euclid av  ",NA,NA,NA,4,NA,NA
"1517","400 block fabius st  ",1,NA,NA,2,1,NA
"1518","400 block fellows av  ",NA,NA,NA,1,NA,NA
"1519","400 block fitch st  ",NA,NA,1,NA,NA,NA
"1520","400 block gifford st  ",1,NA,NA,1,3,1
"1521","400 block grant av  ",1,NA,NA,NA,NA,NA
"1522","400 block grant blvd  ",NA,NA,NA,2,NA,NA
"1523","400 block graves st  ",NA,NA,1,NA,NA,NA
"1524","400 block griffiths st  ",NA,NA,NA,1,1,NA
"1525","400 block hamilton st  ",NA,NA,NA,1,NA,NA
"1526","400 block harrison st  ",NA,NA,NA,3,NA,NA
"1527","400 block harwood av  ",1,NA,NA,NA,NA,NA
"1528","400 block hawley av  ",1,NA,NA,2,NA,NA
"1529","400 block helen st  ",NA,NA,NA,1,NA,NA
"1530","400 block hickock av  ",NA,NA,1,NA,NA,NA
"1531","400 block hickok av  ",NA,NA,NA,1,NA,NA
"1532","400 block highland st  ",NA,NA,NA,NA,1,NA
"1533","400 block hixson av  ",NA,NA,1,1,NA,NA
"1534","400 block irving av  ",NA,NA,NA,1,NA,NA
"1535","400 block james st  ",5,NA,NA,10,1,NA
"1536","400 block kimber rd  ",NA,NA,NA,1,NA,1
"1537","400 block kirk av  ",NA,NA,NA,NA,1,NA
"1538","400 block kirkpatrick st  ",2,NA,5,NA,NA,NA
"1539","400 block lillian av  ",NA,NA,1,2,1,1
"1540","400 block marshall st  ",NA,NA,2,NA,NA,NA
"1541","400 block merriman av  ",1,NA,1,1,NA,NA
"1542","400 block midland av  ",1,NA,NA,2,NA,NA
"1543","400 block montgomery st  ",NA,NA,NA,2,NA,NA
"1544","400 block monticello dr     n",NA,NA,NA,1,NA,NA
"1545","400 block  franklin st   n",NA,NA,NA,2,NA,NA
"1546","400 block  salina st   n",1,NA,2,NA,NA,NA
"1547","400 block oak st  ",NA,NA,1,NA,NA,NA
"1548","400 block onondaga av  ",NA,NA,NA,1,NA,NA
"1549","400 block oswego st  ",NA,NA,NA,1,NA,NA
"1550","400 block otisco st  ",NA,NA,NA,NA,NA,1
"1551","400 block park st  ",NA,NA,1,NA,NA,NA
"1552","400 block pleasantview av  ",NA,NA,NA,1,NA,NA
"1553","400 block pond st  ",NA,NA,NA,2,NA,1
"1554","400 block rich st  ",NA,1,NA,3,NA,1
"1555","400 block richmond av  ",NA,NA,NA,1,NA,NA
"1556","400 block ridgewood dr  ",NA,NA,NA,1,NA,NA
"1557","400 block roberts av  ",NA,NA,NA,3,NA,NA
"1558","400 block robineau rd  ",NA,NA,NA,1,NA,NA
"1559","400 block roosevelt av  ",NA,NA,2,1,NA,NA
"1560","400 block rugby rd  ",NA,NA,NA,1,NA,NA
"1561","400 block  alvord st   s",2,NA,NA,6,NA,NA
"1562","400 block  beech st   s",1,NA,3,1,NA,1
"1563","400 block  clinton st   s",NA,NA,1,11,NA,NA
"1564","400 block  edwards av   s",1,NA,NA,1,NA,NA
"1565","400 block  franklin st   s",NA,NA,NA,1,NA,NA
"1566","400 block  midler av   s",2,NA,NA,NA,NA,NA
"1567","400 block  salina st   s",1,NA,3,18,1,2
"1568","400 block  ssalina st   s",NA,NA,NA,1,NA,NA
"1569","400 block  warren st   s",NA,NA,NA,2,NA,NA
"1570","400 block seymour st  ",NA,NA,NA,1,NA,NA
"1571","400 block shonnard st  ",1,NA,1,NA,1,NA
"1572","400 block smith st  ",1,1,NA,NA,NA,NA
"1573","400 block snyder av  ",NA,NA,NA,1,NA,NA
"1574","400 block solar st  ",NA,NA,NA,1,NA,NA
"1575","400 block south av  ",NA,NA,NA,1,NA,1
"1576","400 block spencer st  ",NA,NA,NA,1,NA,NA
"1577","400 block stafford av  ",NA,NA,NA,1,NA,NA
"1578","400 block state fair blvd  ",NA,NA,NA,1,NA,NA
"1579","400 block sterling av  ",NA,NA,NA,1,NA,NA
"1580","400 block stinard av  ",NA,NA,NA,1,NA,NA
"1581","400 block stolp av  ",NA,NA,NA,1,NA,NA
"1582","400 block sunset av  ",NA,1,NA,NA,NA,NA
"1583","400 block temple st  ",1,NA,NA,NA,NA,NA
"1584","400 block tennyson av  ",NA,NA,NA,1,NA,NA
"1585","400 block thurber st  ",NA,NA,NA,1,NA,NA
"1586","400 block tompkins st  ",1,NA,2,NA,NA,NA
"1587","400 block tully st  ",NA,NA,NA,NA,1,NA
"1588","400 block turtle st  ",NA,NA,1,NA,NA,NA
"1589","400 block ulster st  ",NA,NA,1,NA,NA,NA
"1590","400 block union pl  ",NA,NA,1,2,1,NA
"1591","400 block university av  ",1,NA,NA,5,NA,NA
"1592","400 block university pl  ",NA,NA,1,NA,NA,NA
"1593","400 block valley dr  ",NA,NA,1,1,NA,1
"1594","400 block velasko rd  ",NA,NA,NA,1,NA,NA
"1595","400 block village dr  ",NA,NA,NA,1,NA,NA
"1596","400 block  colvin st  ",NA,NA,1,NA,NA,NA
"1597","400 block  division st  ",NA,NA,NA,4,NA,NA
"1598","400 block  lafayette av  ",NA,NA,2,NA,NA,NA
"1599","400 block  newell st  ",1,NA,NA,NA,NA,NA
"1600","400 block  onondaga st  ",NA,NA,2,6,3,NA
"1601","400 block  ostrander av  ",NA,NA,NA,3,NA,NA
"1602","400 block  seneca tpke  ",1,NA,2,3,1,1
"1603","400 block westcott st  ",NA,NA,2,2,NA,NA
"1604","400 block westmoreland av  ",NA,NA,1,2,NA,NA
"1605","400 block whittier av  ",NA,NA,1,NA,NA,NA
"1606","400 block wilkinson st  ",1,NA,1,1,NA,NA
"1607","400 block willis av  ",NA,NA,1,NA,NA,NA
"1608","400 block wolf st  ",NA,NA,NA,NA,NA,1
"1609","400 block wyoming st  ",NA,NA,NA,1,NA,NA
"1610","4000 block  salina st   s",NA,NA,NA,7,NA,NA
"1611","4100 block brighton pl  ",NA,NA,NA,1,NA,NA
"1612","4100 block  genesee st   e",NA,NA,NA,3,NA,NA
"1613","4100 block  salina st   s",NA,NA,3,48,1,NA
"1614","4200 block  salina st   s",NA,NA,NA,1,NA,NA
"1615","4300 block  salina st   s",NA,NA,NA,2,NA,NA
"1616","4400 block  salina st   s",1,NA,4,1,NA,NA
"1617","4500 block  salina st   s",NA,NA,NA,1,NA,NA
"1618","4600 block  salina st   s",1,NA,2,NA,NA,NA
"1619","4600 block  onondaga blvd  ",NA,NA,NA,1,NA,NA
"1620","4700 block onondaga blvd  ",NA,NA,NA,30,NA,NA
"1621","4700 block  salina st   s",NA,1,2,1,NA,NA
"1622","4800 block  salina st   s",NA,NA,NA,5,NA,1
"1623","4900 block broad rd  ",3,NA,NA,NA,NA,NA
"1624","500 block allen st  ",NA,NA,2,1,NA,NA
"1625","500 block avery av  ",2,NA,NA,NA,NA,1
"1626","500 block beattie st  ",NA,NA,NA,1,NA,NA
"1627","500 block boyden st  ",NA,NA,NA,1,NA,NA
"1628","500 block brattle rd  ",NA,NA,NA,1,NA,NA
"1629","500 block bryant av  ",NA,NA,NA,3,NA,NA
"1630","500 block burnet av  ",NA,NA,1,NA,NA,1
"1631","500 block burt st  ",NA,NA,NA,1,NA,NA
"1632","500 block butternut st  ",1,NA,NA,18,3,2
"1633","500 block carbon st  ",NA,NA,2,2,NA,NA
"1634","500 block catherine st  ",NA,NA,1,1,NA,NA
"1635","500 block clarendon st  ",NA,NA,1,1,NA,1
"1636","500 block columbus av  ",NA,NA,NA,1,NA,NA
"1637","500 block comstock av  ",1,NA,NA,NA,NA,NA
"1638","500 block cortland av  ",NA,NA,NA,NA,NA,1
"1639","500 block court st  ",NA,NA,NA,2,NA,1
"1640","500 block crossett st  ",NA,NA,NA,1,NA,NA
"1641","500 block cumberland av  ",NA,NA,2,NA,NA,NA
"1642","500 block delaware st  ",1,NA,1,3,1,NA
"1643","500 block dudley st  ",NA,NA,1,NA,NA,NA
"1644","500 block durston av  ",NA,NA,1,1,NA,NA
"1645","500 block  brighton av   e",NA,NA,NA,NA,NA,1
"1646","500 block  genesee st   e",NA,NA,NA,NA,NA,1
"1647","500 block  willow st   e",1,NA,1,NA,NA,NA
"1648","500 block emerson av  ",1,NA,1,NA,NA,NA
"1649","500 block erie blvd   e",NA,NA,NA,1,NA,NA
"1650","500 block erie blvd  ",NA,NA,NA,5,NA,NA
"1651","500 block euclid av  ",NA,NA,NA,5,NA,NA
"1652","500 block fabius st  ",NA,1,NA,NA,NA,NA
"1653","500 block garfield av  ",1,NA,NA,NA,NA,NA
"1654","500 block gifford st  ",NA,NA,1,2,NA,NA
"1655","500 block grand av  ",NA,NA,1,NA,NA,NA
"1656","500 block hamilton st  ",NA,NA,NA,NA,NA,1
"1657","500 block hawley av  ",NA,NA,NA,NA,1,NA
"1658","500 block helen st  ",1,NA,NA,NA,NA,NA
"1659","500 block herkimer st  ",NA,NA,NA,1,NA,NA
"1660","500 block highland st  ",2,NA,2,1,NA,NA
"1661","500 block hixson av  ",NA,NA,NA,1,NA,NA
"1662","500 block ivy ridge rd  ",NA,NA,NA,1,NA,NA
"1663","500 block james st  ",NA,NA,NA,2,1,NA
"1664","500 block jamesville av  ",NA,NA,NA,1,NA,NA
"1665","500 block kirkpatrick st  ",NA,NA,5,NA,NA,NA
"1666","500 block lemoyne av  ",NA,NA,NA,1,NA,NA
"1667","500 block lynch av  ",NA,NA,NA,2,NA,NA
"1668","500 block marcellus st  ",NA,NA,1,NA,NA,NA
"1669","500 block meadowbrook dr  ",NA,NA,NA,1,NA,NA
"1670","500 block montgomery st  ",NA,NA,1,2,NA,NA
"1671","500 block myrtle st  ",NA,NA,1,NA,NA,NA
"1672","500 block  salina st   n",NA,NA,NA,3,NA,NA
"1673","500 block  townsend st   n",NA,NA,NA,1,NA,NA
"1674","500 block northcliffe rd  ",NA,NA,1,NA,NA,NA
"1675","500 block nottingham rd  ",NA,NA,2,1,NA,NA
"1676","500 block oak st  ",NA,NA,NA,1,NA,NA
"1677","500 block oakwood av  ",1,NA,1,NA,1,NA
"1678","500 block park av  ",NA,NA,NA,1,NA,NA
"1679","500 block park st  ",NA,NA,1,2,1,NA
"1680","500 block plum st  ",NA,NA,NA,2,NA,NA
"1681","500 block plymouth dr  ",NA,NA,NA,1,NA,NA
"1682","500 block pond st  ",1,NA,NA,1,NA,NA
"1683","500 block prospect av  ",NA,NA,1,NA,NA,NA
"1684","500 block richmond av  ",1,NA,1,2,NA,NA
"1685","500 block robeneau rd  ",NA,NA,NA,1,NA,NA
"1686","500 block rowland st  ",NA,NA,NA,1,NA,NA
"1687","500 block  beech st   s",NA,NA,1,NA,NA,NA
"1688","500 block  clinton st   s",5,NA,3,12,2,2
"1689","500 block  crouse av   s",NA,1,NA,1,NA,NA
"1690","500 block  franklin st   s",NA,NA,NA,3,NA,NA
"1691","500 block  salina st   s",3,1,1,14,1,1
"1692","500 block  state st   s",3,NA,1,22,2,10
"1693","500 block  townsend st   s",NA,NA,NA,1,NA,NA
"1694","500 block  west st   s",NA,NA,NA,1,NA,NA
"1695","500 block seymour st  ",NA,NA,1,NA,NA,NA
"1696","500 block solar st  ",NA,NA,NA,2,NA,NA
"1697","500 block south av  ",NA,NA,NA,1,NA,NA
"1698","500 block spring st  ",NA,NA,NA,1,NA,NA
"1699","500 block state fair blvd  ",NA,NA,NA,1,NA,NA
"1700","500 block stinard av  ",NA,NA,NA,1,NA,NA
"1701","500 block stolp av  ",NA,NA,NA,NA,NA,1
"1702","500 block summit av  ",NA,NA,NA,1,NA,NA
"1703","500 block talman st  ",NA,NA,1,NA,NA,NA
"1704","500 block teall av  ",NA,NA,NA,1,NA,NA
"1705","500 block tennyson av  ",NA,NA,NA,1,NA,1
"1706","500 block tompkins st  ",NA,NA,NA,1,NA,NA
"1707","500 block turtle st  ",NA,NA,NA,1,NA,NA
"1708","500 block ulster st  ",NA,NA,2,1,NA,NA
"1709","500 block university av  ",NA,NA,2,2,NA,1
"1710","500 block university pl  ",NA,NA,NA,1,NA,NA
"1711","500 block valley dr  ",NA,NA,NA,3,NA,1
"1712","500 block vine st  ",NA,NA,NA,1,NA,NA
"1713","500 block  brighton av  ",1,1,1,1,NA,NA
"1714","500 block  colvin st  ",NA,NA,NA,NA,1,NA
"1715","500 block  erie blvd  ",NA,NA,NA,1,NA,NA
"1716","500 block  newell st  ",NA,NA,NA,1,NA,1
"1717","500 block  onondaga av  ",NA,NA,NA,NA,1,NA
"1718","500 block  onondaga st  ",NA,NA,NA,5,NA,NA
"1719","500 block  ostrander av  ",NA,NA,NA,1,NA,NA
"1720","500 block  seneca tpke  ",NA,NA,1,1,NA,NA
"1721","500 block wadsworth st  ",NA,NA,NA,1,NA,NA
"1722","500 block walnut av  ",NA,NA,NA,4,NA,NA
"1723","500 block wescott st  ",NA,NA,NA,1,NA,NA
"1724","500 block westcott st  ",NA,NA,NA,2,NA,1
"1725","500 block westmoreland av  ",NA,NA,1,NA,NA,NA
"1726","500 block whittier av  ",2,NA,NA,NA,NA,NA
"1727","500 block wolcott av  ",NA,NA,NA,1,NA,NA
"1728","500 block wolf st  ",4,NA,NA,2,NA,NA
"1729","500 block wyoming st  ",NA,NA,NA,NA,1,NA
"1730","5200 block  salina st   s",NA,NA,NA,1,NA,NA
"1731","5400 block  salina st   s",1,NA,NA,NA,NA,NA
"1732","5500 block  salina st   s",NA,NA,1,NA,NA,NA
"1733","5800 block  salina st   s",NA,NA,NA,NA,1,NA
"1734","600 block ackerman av  ",NA,NA,1,1,NA,NA
"1735","600 block ash st  ",NA,NA,NA,1,NA,NA
"1736","600 block atlantic av  ",NA,NA,1,NA,NA,NA
"1737","600 block barnes av  ",NA,NA,1,NA,NA,1
"1738","600 block bear st  ",NA,NA,1,NA,NA,NA
"1739","600 block bellevue av  ",NA,NA,1,NA,NA,NA
"1740","600 block berwick rd  ",NA,NA,NA,1,NA,NA
"1741","600 block burnet av  ",NA,NA,1,1,NA,NA
"1742","600 block butternut st  ",NA,NA,1,14,1,NA
"1743","600 block cadillac st  ",NA,NA,NA,NA,NA,1
"1744","600 block cannon st  ",1,NA,1,NA,NA,NA
"1745","600 block carbon st  ",NA,NA,1,3,NA,NA
"1746","600 block catherine st  ",NA,NA,4,1,NA,2
"1747","600 block comstock av  ",NA,NA,NA,NA,1,NA
"1748","600 block court st  ",NA,NA,2,NA,NA,NA
"1749","600 block dewitt st  ",NA,NA,NA,1,NA,NA
"1750","600 block  division st   e",1,NA,5,3,NA,NA
"1751","600 block  genesee st   e",NA,NA,NA,1,NA,NA
"1752","600 block  seneca tpke   e",NA,NA,NA,3,NA,1
"1753","600 block  willow st   e",NA,NA,NA,NA,1,NA
"1754","600 block erie blvd  ",NA,NA,1,1,NA,NA
"1755","600 block euclid av  ",NA,NA,NA,4,NA,NA
"1756","600 block gifford st  ",1,NA,2,1,NA,1
"1757","600 block hamilton st  ",NA,NA,NA,1,NA,NA
"1758","600 block helen st  ",NA,NA,NA,2,NA,NA
"1759","600 block hiawatha blvd  ",NA,NA,NA,1,NA,NA
"1760","600 block hiawatha blvd  ",NA,NA,NA,1,1,1
"1761","600 block highland st  ",1,NA,1,NA,NA,2
"1762","600 block james st  ",NA,NA,1,7,NA,1
"1763","600 block john st  ",NA,NA,NA,NA,1,NA
"1764","600 block kirkpatrick st  ",NA,NA,NA,1,NA,NA
"1765","600 block lemoyne av  ",1,NA,1,NA,NA,NA
"1766","600 block lodi st  ",1,NA,NA,NA,NA,NA
"1767","600 block mountainview av  ",NA,NA,NA,1,NA,NA
"1768","600 block  geddes st   n",NA,NA,1,NA,NA,NA
"1769","600 block  mcbride st   n",1,NA,NA,1,NA,1
"1770","600 block  salina st   n",1,NA,3,4,1,NA
"1771","600 block  state st   n",1,NA,NA,NA,NA,NA
"1772","600 block  townsend st   n",NA,NA,NA,1,NA,NA
"1773","600 block oak st  ",1,NA,NA,NA,NA,NA
"1774","600 block oneida st  ",1,NA,NA,NA,NA,NA
"1775","600 block oswego st  ",1,NA,NA,NA,NA,NA
"1776","600 block otisco st  ",1,NA,NA,NA,NA,NA
"1777","600 block park av  ",NA,NA,NA,4,NA,NA
"1778","600 block park st  ",NA,NA,NA,1,NA,NA
"1779","600 block pond st  ",1,NA,NA,NA,1,NA
"1780","600 block richmond av  ",NA,NA,NA,1,NA,NA
"1781","600 block robinson st  ",2,2,NA,4,NA,NA
"1782","600 block  beech st   s",NA,NA,1,NA,NA,NA
"1783","600 block  clinton st   s",NA,NA,NA,NA,1,NA
"1784","600 block  crouse av   s",NA,NA,1,3,NA,NA
"1785","600 block  geddes st   s",3,NA,1,4,1,NA
"1786","600 block  salina st   s",NA,NA,NA,2,NA,NA
"1787","600 block  state st   s",NA,NA,NA,1,NA,NA
"1788","600 block  west st   s",NA,NA,NA,1,1,NA
"1789","600 block salisbury park dr  ",NA,NA,NA,1,NA,NA
"1790","600 block salt springs rd  ",NA,NA,NA,1,NA,NA
"1791","600 block schuyler st  ",NA,NA,NA,1,NA,NA
"1792","600 block scoville av  ",NA,NA,1,NA,NA,NA
"1793","600 block second north st  ",NA,NA,1,NA,NA,NA
"1794","600 block sedgwick dr  ",NA,NA,NA,1,NA,NA
"1795","600 block seymour st  ",NA,NA,NA,1,NA,NA
"1796","600 block south av  ",NA,NA,1,2,NA,1
"1797","600 block teall av  ",2,NA,NA,NA,NA,NA
"1798","600 block tompkins st  ",NA,NA,NA,1,1,NA
"1799","600 block tully st  ",NA,NA,1,NA,NA,1
"1800","600 block turtle st  ",2,NA,1,NA,NA,NA
"1801","600 block ulster st  ",NA,NA,1,NA,NA,NA
"1802","600 block vine st  ",NA,NA,NA,NA,NA,1
"1803","600 block  brighton av  ",NA,NA,NA,1,NA,NA
"1804","600 block  colvin st  ",NA,NA,NA,1,NA,NA
"1805","600 block  genesee st  ",1,NA,NA,5,NA,1
"1806","600 block  lafayette av  ",NA,NA,NA,1,NA,NA
"1807","600 block  newell st  ",NA,NA,1,1,NA,NA
"1808","600 block  onondaga st  ",1,NA,4,6,1,NA
"1809","600 block  seneca tpke  ",NA,NA,1,NA,NA,NA
"1810","600 block walnut av  ",NA,NA,3,4,NA,NA
"1811","600 block walnut st  ",NA,NA,NA,1,NA,NA
"1812","600 block westmoreland av  ",NA,NA,1,NA,NA,NA
"1813","600 block wolf st  ",NA,NA,NA,1,NA,NA
"1814","700 block 1st north st  ",NA,NA,NA,2,NA,NA
"1815","700 block ackerman av  ",NA,NA,1,1,NA,NA
"1816","700 block allen st  ",NA,NA,NA,3,NA,NA
"1817","700 block ash st  ",NA,NA,1,NA,NA,NA
"1818","700 block avery av  ",NA,NA,1,NA,NA,NA
"1819","700 block ballantyne rd  ",NA,NA,NA,1,NA,NA
"1820","700 block bear st  ",NA,NA,NA,NA,NA,1
