"","police_call_block","Aggravated_assault","Arson","Burglary","Larceny","Robbery","vehicle_theft"
"272","100 block hickock av  ",NA,NA,1,NA,NA,NA
"273","100 block hickok av  ",NA,NA,NA,1,NA,NA
"274","100 block hier av  ",NA,NA,1,NA,NA,NA
"275","100 block highland av  ",1,NA,NA,2,NA,NA
"276","100 block hillsdale av  ",NA,NA,1,NA,NA,NA
"277","100 block hixson av  ",NA,NA,NA,1,NA,NA
"278","100 block hobart av  ",NA,NA,NA,1,NA,NA
"279","100 block holden st  ",NA,NA,NA,1,NA,1
"280","100 block holland st  ",1,NA,1,NA,NA,NA
"281","100 block homecroft av  ",NA,NA,NA,1,NA,NA
"282","100 block hood av  ",NA,NA,NA,1,NA,1
"283","100 block hope av  ",NA,NA,1,1,NA,NA
"284","100 block hopper rd  ",NA,NA,NA,1,NA,NA
"285","100 block houston av  ",NA,NA,NA,1,NA,NA
"286","100 block hudson av  ",1,NA,NA,NA,NA,NA
"287","100 block hudson st  ",1,NA,1,1,NA,NA
"288","100 block hunter av  ",1,NA,NA,NA,NA,NA
"289","100 block huntley st  ",NA,NA,NA,1,NA,NA
"290","100 block hurlburt rd  ",NA,NA,NA,1,NA,NA
"291","100 block huron st  ",NA,NA,1,NA,NA,NA
"292","100 block interpid ln  ",NA,NA,NA,1,NA,NA
"293","100 block intrepid ln  ",NA,NA,1,NA,NA,NA
"294","100 block isabella st  ",NA,NA,1,NA,NA,NA
"295","100 block ivy ridge rd  ",1,NA,NA,NA,NA,NA
"296","100 block jaclyn dr  ",NA,NA,NA,1,NA,NA
"297","100 block jamesville av  ",NA,NA,1,3,NA,NA
"298","100 block janet dr  ",NA,NA,NA,1,NA,NA
"299","100 block jasper pl  ",NA,NA,1,NA,NA,NA
"300","100 block jasper st  ",NA,NA,NA,2,1,1
"301","100 block john st  ",1,NA,6,6,NA,1
"302","100 block josephine st  ",NA,NA,NA,1,1,NA
"303","100 block kappesser st  ",1,NA,NA,1,NA,NA
"304","100 block keen pl  ",NA,NA,1,NA,NA,NA
"305","100 block kellogg st  ",NA,NA,2,2,NA,NA
"306","100 block kenmore av  ",NA,NA,1,NA,NA,NA
"307","100 block kensington rd  ",NA,NA,NA,1,NA,NA
"308","100 block kenwood av  ",NA,NA,1,NA,NA,NA
"309","100 block kimber av  ",NA,NA,NA,1,NA,1
"310","100 block kincaid av  ",NA,NA,NA,1,NA,NA
"311","100 block kirk av  ",NA,NA,NA,1,NA,NA
"312","100 block kuhl av  ",NA,NA,NA,1,NA,NA
"313","100 block lafayette rd  ",NA,NA,8,10,NA,NA
"314","100 block lakeview av  ",2,NA,3,1,1,NA
"315","100 block latimer ter  ",NA,NA,NA,2,NA,NA
"316","100 block latter dr  ",NA,NA,1,NA,NA,NA
"317","100 block lawrence st  ",NA,NA,1,2,NA,1
"318","100 block leavenworth av  ",NA,NA,NA,1,NA,NA
"319","100 block lewis st  ",NA,NA,1,NA,NA,NA
"320","100 block lexington av  ",NA,NA,NA,2,NA,NA
"321","100 block light ct  ",1,NA,NA,1,NA,NA
"322","100 block lilac st  ",NA,NA,2,NA,NA,1
"323","100 block lillian av  ",NA,NA,1,NA,NA,NA
"324","100 block lincoln av  ",NA,NA,NA,1,NA,NA
"325","100 block lindwell ter  ",1,NA,NA,NA,NA,NA
"326","100 block linwell ter  ",NA,NA,1,1,NA,NA
"327","100 block linwill ter  ",NA,NA,2,NA,NA,NA
"328","100 block lodi st  ",1,NA,NA,NA,NA,NA
"329","100 block loehr av  ",1,NA,NA,NA,NA,NA
"330","100 block loma av  ",NA,NA,NA,1,NA,NA
"331","100 block lorraine av  ",NA,NA,1,NA,NA,NA
"332","100 block luddington st  ",NA,NA,NA,2,NA,NA
"333","100 block lynn cir  ",NA,NA,2,1,NA,NA
"334","100 block lynwood av  ",NA,NA,NA,1,NA,1
"335","100 block madison st  ",NA,NA,NA,2,NA,NA
"336","100 block mains av  ",NA,NA,NA,NA,NA,1
"337","100 block manilla st  ",NA,NA,NA,1,NA,NA
"338","100 block manor dr  ",NA,NA,NA,1,NA,NA
"339","100 block maple ter  ",1,NA,1,NA,NA,NA
"340","100 block maplehurst av  ",NA,NA,NA,2,NA,NA
"341","100 block maplewood av  ",NA,NA,2,1,NA,NA
"342","100 block marjorie st  ",NA,NA,1,NA,NA,NA
"343","100 block mark av  ",NA,NA,1,1,NA,NA
"344","100 block markland av  ",NA,NA,1,NA,NA,NA
"345","100 block marlborough rd  ",NA,NA,1,NA,NA,NA
"346","100 block marshall st  ",1,NA,NA,8,NA,1
"347","100 block martin luther king       ",1,NA,1,NA,NA,NA
"348","100 block mary st  ",3,NA,1,4,NA,NA
"349","100 block mather st  ",1,1,1,2,NA,1
"350","100 block maurice av  ",1,NA,2,3,NA,NA
"351","100 block maxwell av  ",NA,NA,1,NA,NA,NA
"352","100 block mayar st  ",NA,NA,1,1,NA,NA
"353","100 block mcallister av  ",NA,NA,1,2,1,NA
"354","100 block mcclure av  ",1,NA,NA,NA,NA,NA
"355","100 block mccormick av  ",NA,NA,NA,2,NA,NA
"356","100 block mclennan av  ",NA,NA,NA,1,NA,NA
"357","100 block meadowbrook dr  ",NA,NA,1,1,NA,NA
"358","100 block medora pl  ",NA,NA,1,NA,NA,NA
"359","100 block melbourne av  ",NA,NA,2,1,NA,NA
"360","100 block merrill st  ",NA,NA,1,NA,NA,NA
"361","100 block merriman av  ",NA,NA,3,4,3,NA
"362","100 block merritt av  ",1,NA,1,NA,NA,NA
"363","100 block michaels av  ",NA,NA,NA,2,NA,NA
"364","100 block milburn dr  ",NA,NA,NA,1,NA,NA
"365","100 block mildred av  ",NA,NA,NA,1,NA,NA
"366","100 block miles av  ",NA,NA,1,3,NA,NA
"367","100 block milford ct  ",NA,NA,NA,1,NA,NA
"368","100 block milnor av  ",1,NA,NA,NA,NA,NA
"369","100 block minerva st  ",1,NA,NA,2,NA,NA
"370","100 block monroe st  ",NA,NA,NA,NA,NA,1
"371","100 block montgomery st  ",NA,NA,NA,4,2,NA
"372","100 block monticello dr     s",NA,NA,NA,1,NA,NA
"373","100 block monticello dr  ",NA,NA,1,NA,NA,NA
"374","100 block mosley dr  ",NA,NA,2,NA,NA,NA
"375","100 block murray av  ",1,NA,1,1,NA,1
"376","100 block  collingwood av   n",NA,NA,NA,2,NA,NA
"377","100 block  edwards av   n",NA,NA,NA,2,NA,NA
"378","100 block  geddes st   n",1,NA,1,1,NA,1
"379","100 block  lorraine av   n",NA,NA,NA,1,NA,NA
"380","100 block  lowell av   n",NA,NA,NA,2,NA,NA
"381","100 block  midler av   n",1,NA,NA,1,NA,NA
"382","100 block  salina st   n",NA,NA,NA,3,NA,1
"383","100 block  townsend pl   n",NA,NA,1,NA,NA,NA
"384","100 block  townsend st   n",NA,NA,NA,1,NA,NA
"385","100 block  wilbur av   n",NA,NA,1,NA,NA,NA
"386","100 block nelson st  ",3,NA,2,1,NA,NA
"387","100 block neutral ct  ",1,NA,1,NA,NA,NA
"388","100 block new st  ",NA,NA,NA,4,NA,NA
"389","100 block newbury hollow ln  ",NA,NA,NA,3,NA,NA
"390","100 block nichols av  ",NA,NA,NA,3,NA,NA
"391","100 block niven st  ",NA,NA,NA,1,NA,NA
"392","100 block normanor dr  ",NA,NA,NA,2,NA,NA
"393","100 block northcliffe rd  ",NA,NA,NA,NA,NA,1
"394","100 block oak pl  ",NA,NA,NA,1,NA,NA
"395","100 block oak st  ",3,NA,1,NA,NA,NA
"396","100 block oakwood av  ",NA,NA,NA,1,NA,NA
"397","100 block onondaga av  ",NA,NA,NA,2,NA,NA
"398","100 block onondaga st  ",NA,NA,NA,1,NA,NA
"399","100 block otisco st  ",NA,NA,NA,1,NA,NA
"400","100 block park av  ",NA,NA,1,NA,NA,NA
"401","100 block park st  ",NA,NA,1,NA,NA,NA
"402","100 block parkside av  ",NA,NA,1,1,NA,NA
"403","100 block parkview av  ",NA,NA,NA,1,NA,NA
"404","100 block parkway dr  ",NA,NA,2,NA,NA,NA
"405","100 block paul av  ",NA,NA,NA,2,NA,NA
"406","100 block peck av  ",NA,NA,NA,3,NA,1
"407","100 block penta dr  ",1,NA,NA,NA,NA,NA
"408","100 block pershing av  ",NA,NA,NA,1,NA,NA
"409","100 block peters st  ",NA,NA,NA,2,1,NA
"410","100 block pharis st  ",NA,NA,1,NA,NA,NA
"411","100 block phillips rd  ",1,NA,NA,NA,NA,NA
"412","100 block pleasantview av  ",NA,NA,NA,2,NA,NA
"413","100 block plum st  ",NA,NA,NA,1,NA,NA
"414","100 block plymouth dr  ",NA,NA,NA,2,NA,NA
"415","100 block polk st  ",1,NA,1,4,NA,NA
"416","100 block pond st  ",NA,NA,NA,NA,1,NA
"417","100 block putnam st  ",1,NA,NA,NA,NA,NA
"418","100 block radisson ct  ",1,NA,1,NA,NA,NA
"419","100 block raymond av  ",NA,NA,1,NA,NA,NA
"420","100 block redfield pl  ",NA,NA,NA,2,NA,NA
"421","100 block reed av  ",NA,NA,1,NA,NA,NA
"422","100 block remington av  ",NA,NA,2,3,NA,1
"423","100 block richardson av  ",1,NA,1,3,NA,NA
"424","100 block richmond av  ",NA,NA,NA,1,NA,NA
"425","100 block ridgeway av  ",NA,NA,1,1,NA,NA
"426","100 block rigi av  ",NA,NA,NA,1,NA,NA
"427","100 block riverdale dr  ",2,NA,1,1,1,NA
"428","100 block roberts av  ",NA,NA,NA,2,NA,NA
"429","100 block robinson st  ",NA,NA,1,NA,NA,NA
"430","100 block rockland av  ",NA,NA,1,NA,NA,NA
"431","100 block rockwood rd  ",NA,NA,NA,1,NA,NA
"432","100 block roney ln  ",3,2,6,4,NA,1
"433","100 block roney rd  ",1,NA,NA,NA,NA,NA
"434","100 block roosevelt av  ",NA,NA,1,2,NA,NA
"435","100 block rosemont dr  ",NA,NA,1,NA,NA,NA
"436","100 block ross park dr  ",NA,NA,NA,1,NA,NA
"437","100 block ross pk  ",NA,NA,1,1,NA,NA
"438","100 block rugby rd  ",NA,NA,1,2,NA,NA
"439","100 block russell pl  ",NA,NA,NA,1,NA,NA
"440","100 block  beech st   s",1,NA,NA,NA,NA,NA
"441","100 block  carbon st   s",NA,NA,2,NA,1,NA
"442","100 block  clinton st   s",NA,NA,NA,1,NA,NA
"443","100 block  collingwood av   s",1,NA,2,NA,NA,1
"444","100 block  crouse av   s",NA,NA,NA,1,NA,NA
"445","100 block  edwards av   s",NA,NA,1,1,NA,NA
"446","100 block  lowell av   s",NA,NA,NA,2,1,NA
"447","100 block  midler av   s",NA,NA,NA,1,NA,NA
"448","100 block  warren st   s",NA,NA,2,1,NA,NA
"449","100 block sabine st  ",NA,NA,NA,NA,1,2
"450","100 block schiller av  ",NA,NA,NA,1,NA,NA
"451","100 block schiller park dr  ",NA,NA,NA,1,NA,NA
"452","100 block schneider st  ",NA,NA,3,2,NA,NA
"453","100 block schoeneck av  ",NA,NA,NA,1,NA,NA
"454","100 block schuler st  ",1,NA,1,NA,NA,NA
"455","100 block searlwyn av  ",NA,NA,NA,NA,NA,1
"456","100 block second north st  ",NA,NA,1,2,NA,NA
"457","100 block sedgewick dr  ",NA,NA,NA,2,NA,NA
"458","100 block sedgewick rd  ",NA,NA,NA,1,NA,NA
