,Address,Fire.alarm
849,1100 block front of 212 s alvord st,1
850,1100 block front of 226 teall ave,1
851,1100 block front of 259 w fayette st,1
852,1100 block front of 290 w jefferson st,1
853,1100 block front of 300 burt st,2
854,1100 block front of 304 e onondaga st,1
855,1100 block front of 318 marcellus st,1
856,1100 block front of 408 bear st,1
857,1100 block front of 428 westmoreland ave,1
858,1100 block front of 501 avery ave,1
859,1100 block front of 550 s clinton st,1
860,1100 block front of 605 valley dr,1
861,1100 block front of 701 e genesee st,1
862,1100 block geddes st  at arden dr s,1
863,1100 block geddes st  at delaware st s,1
864,1100 block geddes st  at fitch st s,1
865,1100 block geddes st  at gifford st s,2
866,1100 block geddes st  at liberty st n,1
867,1100 block geddes st  at richmond av n,2
868,1100 block geddes st  at w onondaga st s,1
869,1100 block geddes st s,3
870,1100 block genant dr  at w bear st,1
871,1100 block genesee st,4
872,1100 block genesee st  at almond st e,1
873,1100 block genesee st  at dewey av,1
874,1100 block genesee st  at maple st e,1
875,1100 block genesee st  at n geddes st,1
876,1100 block genesee st  at n west st,1
877,1100 block genesee st  at sackett st,1
878,1100 block genesee st  at state fair blvd,1
879,1100 block genesee st at e,1
880,1100 block genesee st e,3
881,1100 block gertrude st  at lodi st,1
882,1100 block gifford st  at ontario st,1
883,1100 block gifford st  at s west st,1
884,1100 block glen ave  at s salina st,1
885,1100 block glencove rd  at mosley dr,1
886,1100 block glenwood ave,7
887,1100 block glenwood ave  at mcdonald rd,1
888,1100 block grand ave  at cadwell st,2
889,1100 block grand ave  at delaware st,1
890,1100 block grand ave  at herriman st,1
891,1100 block grand ave  at velasko rd,1
892,1100 block grant blvd  at dewitt st,1
893,1100 block grant blvd  at james st,1
894,1100 block grant blvd  at kirkpatrick st,2
895,1100 block grant blvd  at pond st,1
896,1100 block grant blvd  at swansea dr,1
897,1100 block grant blvd  at village dr,1
898,1100 block grant blvd  at woodlawn ter,1
899,1100 block green st  at oak st,1
900,1100 block griffiths st  at butternut st,1
901,1100 block grove st  at valley dr,1
902,1100 block hamilton st  at n lowell av,1
903,1100 block harrison st,11
904,1100 block harrison st  at s salina st,1
905,1100 block harrison st  at university av,1
906,1100 block harrison st from sb i 81 ramp at eb i 690 to sb,1
907,1100 block harvard pl  at westcott st,1
908,1100 block hawley ave,3
909,1100 block hawley ave  at howard st,1
910,1100 block hawley ave  at lodi st,1
911,1100 block hawthorne st  at dell st,1
912,1100 block hazelwood ave,6
913,1100 block helen st  at park st,1
914,1100 block helen st  at rugby rd,1
