,Address,Fire alarm
633,1203 MILTON Ave,2
634,1203 PARK St,1
635,1203 S GEDDES St,1
636,1203 S SALINA St,3
637,1204 OAK St,1
638,1204 S GEDDES St,2
639,1205 ERIE Blvd W,1
640,1206 SPRING St,3
641,1207 ALMOND St,42
642,1207 BURNET Ave,1
643,1207 HARRISON St,1
644,1207 LODI St,1
645,1207 MADISON St,1
646,1207 S GEDDES St,1
647,1207 WILLIS Ave,1
648,1209 LEMOYNE Ave,1
649,1209 MADISON St,1
650,1209 STOLP Ave,1
651,121 BERKSHIRE Ave,1
652,121 BRIGGS St,1
653,121 CARLISLE St,1
654,121 CHENEY St,1
655,121 CROUSE Dr,2
656,121 EDTIM Rd,2
657,121 FAGE Ave,1
658,121 GREEN St,1
659,121 LAFAYETTE Rd,6
660,121 LAMSON St,1
661,121 MARKLAND Ave,1
662,121 PARKWAY Dr,1
663,121 POND St,1
664,121 SLAYTON Ave,1
665,121 W KENNEDY St,1
666,121 W SENECA Tpke,2
667,121 WINDING RIDGE Rd,1
668,1210 BUTTERNUT St,1
669,1211 MILTON Ave,1
670,1212 W ONONDAGA St,1
671,1213 AVERY Ave,1
672,1214 SPRING St,1
673,1215 COURT St,1
674,1215 LEMOYNE Ave,2
675,1215 MILTON Ave,6
676,1216 PARK St,2
677,1217 MIDLAND Ave,2
678,1217 W FAYETTE St,1
679,1217 W ONONDAGA St,1
680,1218 E FAYETTE St,2
681,1219 S STATE St,1
682,122 BERWYN Ave,1
683,122 CORDOVA St,1
684,122 DEARBORN Pl,2
685,122 DICKERSON St,22
686,122 HOBART Ave,1
687,122 JOHN St,1
688,122 KELLOGG St,2
689,122 KENMORE Ave,1
690,122 LINCOLN Ave,2
691,122 MILTON Ave,1
692,122 PATTISON St,1
693,122 ROSEMONT Dr,1
694,122 TYLER Ct,2
695,122 W SENECA Tpke,61
696,122 WEISER Ct,1
697,122 WIMAN Ave,1
698,1220 PARK St,1
699,1221 S SALINA St,6
700,1222 AVERY Ave,1
701,1222 BUTTERNUT St,1
702,1223 MILTON Ave,1
703,1223 OAK St,1
704,1223 SOUTH Ave,2
705,1224 W GENESEE St,1
706,1225 BUTTERNUT St,4
707,1225 MILTON Ave,3
708,1225 W BELDEN Ave,1
